tag,tick,sim_t,side,card,base,kind,pro_tx,pro_ty,threat,d_threat,threat_ra,n_enemy_troops,bb_detected,bb_case,n_cands,pc_pro_p1_pull_band,pc_lock_p1_pull_band,pc_rank_p1_pull_band,pc_ntie_p1_pull_band,pc_pro_p1_close_penalty,pc_lock_p1_close_penalty,pc_rank_p1_close_penalty,pc_ntie_p1_close_penalty,pc_pro_p2_cover,pc_lock_p2_cover,pc_rank_p2_cover,pc_ntie_p2_cover,pc_pro_p3_intercept,pc_lock_p3_intercept,pc_rank_p3_intercept,pc_ntie_p3_intercept,pc_pro_p4_spell_frac,pc_lock_p4_spell_frac,pc_rank_p4_spell_frac,pc_ntie_p4_spell_frac,pc_pro_p4_nado,pc_lock_p4_nado,pc_rank_p4_nado,pc_ntie_p4_nado,pc_pro_p4_king_activation,pc_lock_p4_king_activation,pc_rank_p4_king_activation,pc_ntie_p4_king_activation,pc_pro_p5_timing,pc_lock_p5_timing,pc_rank_p5_timing,pc_ntie_p5_timing,pc_pro_p6_siege,pc_lock_p6_siege,pc_rank_p6_siege,pc_ntie_p6_siege,pc_pro_p7_fragility,pc_lock_p7_fragility,pc_rank_p7_fragility,pc_ntie_p7_fragility,pc_pro_sum,pc_lock_sum,pc_rank_sum,pc_ntie_sum,pc_best_cand,ra_pro_p1_pull_band,ra_lock_p1_pull_band,ra_rank_p1_pull_band,ra_ntie_p1_pull_band,ra_pro_p1_close_penalty,ra_lock_p1_close_penalty,ra_rank_p1_close_penalty,ra_ntie_p1_close_penalty,ra_pro_p2_cover,ra_lock_p2_cover,ra_rank_p2_cover,ra_ntie_p2_cover,ra_pro_p3_intercept,ra_lock_p3_intercept,ra_rank_p3_intercept,ra_ntie_p3_intercept,ra_pro_p4_spell_frac,ra_lock_p4_spell_frac,ra_rank_p4_spell_frac,ra_ntie_p4_spell_frac,ra_pro_p4_nado,ra_lock_p4_nado,ra_rank_p4_nado,ra_ntie_p4_nado,ra_pro_p4_king_activation,ra_lock_p4_king_activation,ra_rank_p4_king_activation,ra_ntie_p4_king_activation,ra_pro_p5_timing,ra_lock_p5_timing,ra_rank_p5_timing,ra_ntie_p5_timing,ra_pro_p6_siege,ra_lock_p6_siege,ra_rank_p6_siege,ra_ntie_p6_siege,ra_pro_p7_fragility,ra_lock_p7_fragility,ra_rank_p7_fragility,ra_ntie_p7_fragility,ra_pro_sum,ra_lock_sum,ra_rank_sum,ra_ntie_sum,ra_best_cand
000YLY0JCPGL,215,10.8,1,skeletons,skeletons,troop,9.5,31.5,,0.0,,0,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,1.0,1,7,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,1.0,1,7,centre,0.0,0.0,1,22,0.0,0.0,1,22,1.0,1.0,1,7,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,1.0,1,7,centre
000YLY0JCPGL,339,17.0,1,the-log,the_log,spell,12.5,17.5,archers,13.73,archers,2,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,0.4179,0.5,22,0,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.4179,0.5,22,0,centre,0.0,0.0,1,22,0.0,0.0,1,22,0.4179,0.5,22,0,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.4179,0.5,22,0,centre
000YLY0JCPGL,435,21.8,1,tesla,tesla,building,9.0,21.0,archers,11.56,archers,3,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,0.5,1,7,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,0.5,1,7,centre,0.0,0.0,1,22,0.0,0.0,1,22,1.0,0.5,1,7,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,0.5,1,7,centre
000YLY0JCPGL,535,26.8,0,skeletons,skeletons,troop,9.5,31.5,,0.0,,0,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,1.0,1,7,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,1.0,1,7,centre,0.0,0.0,1,22,0.0,0.0,1,22,1.0,1.0,1,7,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,1.0,1,7,centre
000YLY0JCPGL,681,34.1,1,rocket,rocket,spell,15.5,8.5,goblinstein,1.49,goblinstein,6,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.5,23,0,0.0,0.0,1,22,0.0,0.0,2,21,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.5,23,0,g15_18,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.5,23,0,0.0,0.0,1,22,0.0,0.0,2,21,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.5,23,0,g15_18
000YLY0JCPGL,863,43.2,1,knight,knight,troop,14.5,21.5,goblinstein,5.3,goblinstein,2,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,1,22,1.0,0.5,1,4,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.7341,1.0,16,0,0.0,0.0,1,22,0.0,0.0,1,22,2.2341,2.0,5,0,bow_modal_R,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,1,22,1.0,0.5,1,4,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.7341,1.0,16,0,0.0,0.0,1,22,0.0,0.0,1,22,2.2341,2.0,5,0,bow_modal_R
000YLY0JCPGL,918,45.9,1,ice-wizard,ice_wizard,troop,14.5,27.5,goblinstein,8.56,goblinstein,6,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,1,22,0.0,0.0,11,12,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,0.0,1,8,0.0,0.0,1,22,0.0,0.0,1,22,1.5,0.5,7,3,bow_modal_R,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,1,22,0.0,0.0,11,12,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,1.0,0.0,1,8,0.0,0.0,1,22,0.0,0.0,1,22,1.5,0.5,7,3,bow_modal_R
000YLY0JCPGL,1344,67.2,1,skeletons,skeletons,troop,9.5,31.5,archers,17.56,archers,1,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,corner,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,corner
000YLY0JCPGL,1384,69.2,1,the-log,the_log,spell,14.5,21.5,,0.0,,1,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,8,14,0.0,0.0,1,22,0.0,0.0,5,18,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,12,10,bow_modal_R,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,8,14,0.0,0.0,1,22,0.0,0.0,5,18,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,12,10,bow_modal_R
000YLY0JCPGL,1492,74.6,0,skeletons,skeletons,troop,9.5,31.5,ice_wizard,16.07,ice_wizard,4,0.0,0.0,22,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,1,18,0.0,0.425,10,13,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.7849,15,8,0.0,0.0,1,22,-0.0,-0.0,1,16,0.5,1.7099,14,5,g3_22,0.0,0.0,1,22,0.0,0.0,1,22,0.5,0.5,1,18,0.0,0.425,10,13,0.0,0.0,1,22,0.0,0.0,1,22,0.0,0.0,1,22,0.3637,1.0,16,0,0.0,0.0,1,22,-0.0,-0.0,1,17,0.8637,1.925,15,0,g3_22
